name,found,origin,end,type
Egyptian,-3000,Egypt,553,Polytheistic
Mesopotamian,-4000,Mesopotamia,400,Polytheistic
Wuism,-5000,China,2022,Shamanistic
Muism,-4500,Korea,2022,Shamanistic
Taoism,-550,China,1959,Nontheistic
Shinto,-500,China,1946,Nontheistic
Confucianism,-500,China,1905,Nontheistic
Tengriam,-300,China,1000,Monothestic
Norse,200,,1100,Polytheistic
Indus Valley,-3300,Indus Valley,1300,Shamanistic
Vedic,-1700,India,500,Polytheistic
Hinduism,-1000,India,2022,Polytheistic
Jainism,-1000,India,2022,Monothestic
Greek,-2000,Greece,1000,Polytheistic
Buddhism,-520,India,2022,Nontheistic
Shenism,"-10,000",China,2022,Polytheistic
Inuit,1000,America,2022,Shamanistic
