name,found,origin,end,type
Basque,-5500,South-Europe,-3500,Polytheistic
Atenism,-1349,West-Asia,-1324,Monotheistic
Indus,-3300,South-Asia,-1300,Animism
Canaanite,-2300,West-Asia,-1250,Polytheistic
Hittite,-1600,South-Europe,-1180,Polytheistic
Minoan,-3500,South-Europe,-1100,Monotheistic
Ashurism,-2047,West-Asia,-612,Polytheistic
Vedism,-1500,South-Asia,-600,Polytheistic
Mesopotamian,-3100,West-Asia,-539,Polytheistic
Celtic,-1200,West-Europe,-400,Polytheistic
Olmec,-1600,Central-America,-350,Polytheistic
Ancient Egyptian,-3100,West-Asia,-332,Polytheistic
Phoenician,-1500,West-Asia,-300,Polytheistic
Hellenism,-300,South-Europe,-140,Animism
Gnosticism,100,South-Asia,300,Polytheistic
Roman Paganism,-650,South-Europe,313,Nontheistic
Manichaeism,210,South-Asia,382,Dualistic
Mithraism,-600,South-Europe,400,Monotheistic
Hopewell,200,North-America,500,Polytheistic
Vedic,-1500,South-Asia,600,Polytheistic
Zoroastrianism,-600,West-Asia,650,Monotheistic
Bon,-100,South-Asia,750,Polytheistic
Berber,-2000,North-Africa,800,Monotheistic
Mayan,250,Central-America,900,Nontheistic
Asatru,400,North-Europe,1000,Polytheistic
Vajrayana,650,South-Asia,1100,Polytheistic
Catharism,325,West-Europe,1244,Dualistic
Anasazi,200,North-America,1300,Polytheistic
Germanic Paganism,-500,North-Europe,1300,Polytheistic
Romuva,-3000,West-Europe,1400,Polytheistic
Tengrism,-400,Central-Asia,1400,Animism
Yoruba,-300,West-Africa,1420,Polytheistic
Hermeticism,100,South-Europe,1460,Dualistic
Bantu,940,Central-Africa,1500,Monotheistic
Bogomilism,1000,South-Europe,1500,Dualistic
Aztec,1300,Central-America,1521,Polytheistic
Incan,1200,South-America,1530,Polytheistic
Kabbalah,-40,West-Europe,1573,Monotheistic
Sami,100,North-Europe,1700,Animism
Neo-Platonism,250,South-Europe,1716,Monotheistic
Sufism,1200,West-Asia,1826,Monotheistic
Hawaiian,500,Polynesia,1900,Polytheistic
Inuit,1050,North-America,1900,Animism
Polynesian,-2000,Polynesia,1900,Polytheistic
Protestantism,1500,West-Europe,1900,Monotheistic
Wuism,-1046,East-Asia,1900,Shamanistic
Tewahedo,400,South-America,1905,Monotheistic
Taoism,-500,East-Asia,1980,Polytheistic
Baha'i,1844,South-Asia,2022,Monotheistic
Buddhism,-550,South-Asia,2022,Polytheistic
Catholocism,30,West-Asia,2022,Monotheistic
Christianity,30,West-Asia,2022,Monotheistic
Confucianism,-600,East-Asia,2022,Nontheistic
East Orthodox,200,South-Europe,2022,Monotheistic
Hinduism,-2000,South-Asia,2022,Polytheistic
Jainism,-3000,South-Asia,2022,Shamanistic
Judaism,-100,West-Asia,2022,Monotheistic
Kemetism Orthodox,1988,West-Asia,2022,Polytheistic
Mahayana,-100,South-Asia,2022,Polytheistic
Muism,-1000,East-Asia,2022,Polytheistic
Reform Judaism,1700,West-Europe,2022,Monotheistic
Rodnover,1800,East-Europe,2022,Polytheistic
Shenism,1054,East-Asia,2022,Monotheistic
Shi'te,630,West-Asia,2022,Monotheistic
Shinto,-600,East-Asia,2022,Animism
Sikhism,1500,South-Asia,2022,Monotheistic
Sunni,630,West-Asia,2022,Monotheistic
Theosophy,1875,North-America,2022,Nontheistic
Theravada,-400,South-Asia,2022,Polytheistic
