name,found,origin,end,type
Basque,-5500,South-Europe,-3500,Polytheistic
Minoan,-3500,South-Europe,-1100,Monotheistic
Indus,-3300,South-Asia,-1300,Animism
Ancient Egyptian,-3100,West-Asia,-332,Polytheistic
Mesopotamian,-3100,West-Asia,-539,Polytheistic
Jainism,-3000,South-Asia,2022,Shamanistic
Romuva,-3000,West-Europe,1400,Polytheistic
Canaanite,-2300,West-Asia,-1250,Polytheistic
Ashurism,-2047,West-Asia,-612,Polytheistic
Berber,-2000,North-Africa,800,Monotheistic
Hinduism,-2000,South-Asia,2022,Polytheistic
Polynesian,-2000,Polynesia,1900,Polytheistic
Hittite,-1600,South-Europe,-1180,Polytheistic
Olmec,-1600,Central-America,-350,Polytheistic
Phoenician,-1500,West-Asia,-300,Polytheistic
Vedic,-1500,South-Asia,600,Polytheistic
Vedism,-1500,South-Asia,-600,Polytheistic
Atenism,-1349,West-Asia,-1324,Monotheistic
Celtic,-1200,West-Europe,-400,Polytheistic
Wuism,-1046,East-Asia,1900,Shamanistic
Muism,-1000,East-Asia,2022,Polytheistic
Roman Paganism,-650,South-Europe,313,Nontheistic
Confucianism,-600,East-Asia,2022,Nontheistic
Mithraism,-600,South-Europe,400,Monotheistic
Shinto,-600,East-Asia,2022,Animism
Zoroastrianism,-600,West-Asia,650,Monotheistic
Buddhism,-550,South-Asia,2022,Polytheistic
Germanic Paganism,-500,North-Europe,1300,Polytheistic
Taoism,-500,East-Asia,1980,Polytheistic
Tengrism,-400,Central-Asia,1400,Animism
Theravada,-400,South-Asia,2022,Polytheistic
Hellenism,-300,South-Europe,-140,Animism
Yoruba,-300,West-Africa,1420,Polytheistic
Bon,-100,South-Asia,750,Polytheistic
Judaism,-100,West-Asia,2022,Monotheistic
Mahayana,-100,South-Asia,2022,Polytheistic
Kabbalah,-40,West-Europe,1573,Monotheistic
Catholocism,30,West-Asia,2022,Monotheistic
Christianity,30,West-Asia,2022,Monotheistic
Gnosticism,100,South-Asia,300,Polytheistic
Hermeticism,100,South-Europe,1460,Dualistic
Sami,100,North-Europe,1700,Animism
Anasazi,200,North-America,1300,Polytheistic
East Orthodox,200,South-Europe,2022,Monotheistic
Hopewell,200,North-America,500,Polytheistic
Manichaeism,210,South-Asia,382,Dualistic
Mayan,250,Central-America,900,Nontheistic
Neo-Platonism,250,South-Europe,1716,Monotheistic
Catharism,325,West-Europe,1244,Dualistic
Asatru,400,North-Europe,1000,Polytheistic
Tewahedo,400,South-America,1905,Monotheistic
Hawaiian,500,Polynesia,1900,Polytheistic
Shi'te,630,West-Asia,2022,Monotheistic
Sunni,630,West-Asia,2022,Monotheistic
Vajrayana,650,South-Asia,1100,Polytheistic
Bantu,940,Central-Africa,1500,Monotheistic
Bogomilism,1000,South-Europe,1500,Dualistic
Inuit,1050,North-America,1900,Animism
Shenism,1054,East-Asia,2022,Monotheistic
Incan,1200,South-America,1530,Polytheistic
Sufism,1200,West-Asia,1826,Monotheistic
Aztec,1300,Central-America,1521,Polytheistic
Protestantism,1500,West-Europe,1900,Monotheistic
Sikhism,1500,South-Asia,2022,Monotheistic
Reform Judaism,1700,West-Europe,2022,Monotheistic
Rodnover,1800,East-Europe,2022,Polytheistic
Baha'i,1844,South-Asia,2022,Monotheistic
Theosophy,1875,North-America,2022,Nontheistic
Kemetism Orthodox,1988,West-Asia,2022,Polytheistic
